"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","417","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:35 GMT 2025","passed","Thu Jan 16 20:20:35 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Check that next page of checkout - 'Checkout: Overview' - opens after entering valid data to form.","1093","Check that next page of checkout opens after entering valid data.","SauceDemo Smoke Test","Thu Jan 16 20:20:53 GMT 2025","passed","Thu Jan 16 20:20:54 GMT 2025","tests.CheckoutTest","Thread#1","tests.CheckoutTest","testCheckoutWithAllFields"
"Check that one product - Sauce Labs Bike Light - can be added to cart.","674","Check that one prodcut can be added to cart.","SauceDemo Smoke Test","Thu Jan 16 20:24:55 GMT 2025","passed","Thu Jan 16 20:24:56 GMT 2025","tests.CartTest","Thread#2","tests.CartTest","addOneProductToCart"
"Check that all items can be removed from shopping cart","11834","Check that several products can be added and removed from cart.","SauceDemo Smoke Test","Thu Jan 16 20:21:22 GMT 2025","passed","Thu Jan 16 20:21:34 GMT 2025","tests.CartTest","Thread#3","tests.CartTest","removeSeveralProductsToCart"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1111","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:20:57 GMT 2025","passed","Thu Jan 16 20:20:59 GMT 2025","tests.CheckoutTest","Thread#1","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","484","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:24:47 GMT 2025","passed","Thu Jan 16 20:24:48 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","731","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:21:03 GMT 2025","passed","Thu Jan 16 20:21:03 GMT 2025","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
"Positive test of login to Saucedemo with valid credentials.","2349","Check login to Saucedemo with valid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:24:42 GMT 2025","passed","Thu Jan 16 20:24:45 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLogin"
"Check that all items can be removed from shopping cart","10907","Check that several products can be added and removed from cart.","SauceDemo Smoke Test","Thu Jan 16 20:20:42 GMT 2025","passed","Thu Jan 16 20:20:53 GMT 2025","tests.CartTest","Thread#1","tests.CartTest","removeSeveralProductsToCart"
"Check that it is possible to open Shopping cart from Products page even when nothing was added to cart.","1105","Check that it is possible to open Shopping cart from Products page.","SauceDemo Smoke Test","Thu Jan 16 20:21:52 GMT 2025","passed","Thu Jan 16 20:21:53 GMT 2025","tests.ProductsTest","Thread#3","tests.ProductsTest","testSwitchingToCart"
"Check that several products - Sauce Labs Backpack, Sauce Labs Fleece Jacket - can be added to cart.","784","Check that several products can be added to cart.","SauceDemo Smoke Test","Thu Jan 16 20:24:57 GMT 2025","passed","Thu Jan 16 20:24:58 GMT 2025","tests.CartTest","Thread#2","tests.CartTest","addSeveralProductsToCart"
"Check that one product - Sauce Labs Bike Light - can be added to cart.","670","Check that one prodcut can be added to cart.","SauceDemo Smoke Test","Thu Jan 16 20:20:37 GMT 2025","passed","Thu Jan 16 20:20:38 GMT 2025","tests.CartTest","Thread#1","tests.CartTest","addOneProductToCart"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","458","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:33 GMT 2025","passed","Thu Jan 16 20:20:34 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Check that several products - Sauce Labs Backpack, Sauce Labs Fleece Jacket - can be added to cart.","1541","Check that several products can be added to cart.","SauceDemo Smoke Test","Thu Jan 16 20:21:09 GMT 2025","passed","Thu Jan 16 20:21:11 GMT 2025","tests.CartTest","Thread#3","tests.CartTest","addSeveralProductsToCart"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1632","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:21:44 GMT 2025","passed","Thu Jan 16 20:21:46 GMT 2025","tests.CheckoutTest","Thread#3","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check that next page of checkout - 'Checkout: Overview' - opens after entering valid data to form.","1484","Check that next page of checkout opens after entering valid data.","SauceDemo Smoke Test","Thu Jan 16 20:21:36 GMT 2025","passed","Thu Jan 16 20:21:38 GMT 2025","tests.CheckoutTest","Thread#3","tests.CheckoutTest","testCheckoutWithAllFields"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1437","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:21:48 GMT 2025","passed","Thu Jan 16 20:21:50 GMT 2025","tests.CheckoutTest","Thread#3","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","770","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:55 GMT 2025","passed","Thu Jan 16 20:20:56 GMT 2025","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","437","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:36 GMT 2025","passed","Thu Jan 16 20:20:36 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Check that several products - Sauce Labs Backpack, Sauce Labs Fleece Jacket - can be added to cart.","694","Check that several products can be added to cart.","SauceDemo Smoke Test","Thu Jan 16 20:20:38 GMT 2025","passed","Thu Jan 16 20:20:39 GMT 2025","tests.CartTest","Thread#1","tests.CartTest","addSeveralProductsToCart"
"Check that switching to Checkout page 'Checkout: Your Information' happens.","1740","Check that switching to Checkout page happens.","SauceDemo Smoke Test","Thu Jan 16 20:21:13 GMT 2025","passed","Thu Jan 16 20:21:15 GMT 2025","tests.CartTest","Thread#3","tests.CartTest","checkSwitchToCheckout"
"Check that switching to Checkout page 'Checkout: Your Information' happens.","883","Check that switching to Checkout page happens.","SauceDemo Smoke Test","Thu Jan 16 20:24:59 GMT 2025","passed","Thu Jan 16 20:25:00 GMT 2025","tests.CartTest","Thread#2","tests.CartTest","checkSwitchToCheckout"
"Check that one product can be added and removed from cart, when there are multiple products","883","Check that one product can be added and removed from cart.","SauceDemo Smoke Test","Thu Jan 16 20:25:02 GMT 2025","passed","Thu Jan 16 20:25:02 GMT 2025","tests.CartTest","Thread#2","tests.CartTest","removeOneProductFromCart"
"Check that it is possible to open Shopping cart from Products page even when nothing was added to cart.","601","Check that it is possible to open Shopping cart from Products page.","SauceDemo Smoke Test","Thu Jan 16 20:25:26 GMT 2025","passed","Thu Jan 16 20:25:26 GMT 2025","tests.ProductsTest","Thread#2","tests.ProductsTest","testSwitchingToCart"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","872","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:25:21 GMT 2025","passed","Thu Jan 16 20:25:22 GMT 2025","tests.CheckoutTest","Thread#2","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check that one product - Sauce Labs Bike Light - can be added to cart.","1176","Check that one prodcut can be added to cart.","SauceDemo Smoke Test","Thu Jan 16 20:21:06 GMT 2025","passed","Thu Jan 16 20:21:07 GMT 2025","tests.CartTest","Thread#3","tests.CartTest","addOneProductToCart"
"Positive test of login to Saucedemo with valid credentials.","1212","Check login to Saucedemo with valid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:44 GMT 2025","passed","Thu Jan 16 20:20:45 GMT 2025","tests.LoginTest","Thread#3","tests.LoginTest","checkLogin"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1417","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:21:40 GMT 2025","passed","Thu Jan 16 20:21:42 GMT 2025","tests.CheckoutTest","Thread#3","tests.CheckoutTest","testCheckoutWithInvalidData"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","917","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:25:23 GMT 2025","passed","Thu Jan 16 20:25:24 GMT 2025","tests.CheckoutTest","Thread#2","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","445","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:36 GMT 2025","passed","Thu Jan 16 20:20:37 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","876","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:51 GMT 2025","passed","Thu Jan 16 20:20:52 GMT 2025","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
"Check that it is possible to open Shopping cart from Products page even when nothing was added to cart.","863","Check that it is possible to open Shopping cart from Products page.","SauceDemo Smoke Test","Thu Jan 16 20:20:59 GMT 2025","passed","Thu Jan 16 20:21:00 GMT 2025","tests.ProductsTest","Thread#1","tests.ProductsTest","testSwitchingToCart"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","894","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:20:56 GMT 2025","passed","Thu Jan 16 20:20:57 GMT 2025","tests.CheckoutTest","Thread#1","tests.CheckoutTest","testCheckoutWithInvalidData"
"Positive test of login to Saucedemo with valid credentials.","1169","Check login to Saucedemo with valid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:32 GMT 2025","passed","Thu Jan 16 20:20:33 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Check that all items can be removed from shopping cart","10982","Check that several products can be added and removed from cart.","SauceDemo Smoke Test","Thu Jan 16 20:25:04 GMT 2025","passed","Thu Jan 16 20:25:15 GMT 2025","tests.CartTest","Thread#2","tests.CartTest","removeSeveralProductsToCart"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","505","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:24:53 GMT 2025","passed","Thu Jan 16 20:24:54 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","445","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:34 GMT 2025","passed","Thu Jan 16 20:20:34 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1172","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:20:55 GMT 2025","passed","Thu Jan 16 20:20:56 GMT 2025","tests.CheckoutTest","Thread#1","tests.CheckoutTest","testCheckoutWithInvalidData"
