"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","509","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:24:51 GMT 2025","passed","Thu Jan 16 20:24:52 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","908","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:59 GMT 2025","passed","Thu Jan 16 20:21:00 GMT 2025","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
"Check that next page of checkout - 'Checkout: Overview' - opens after entering valid data to form.","927","Check that next page of checkout opens after entering valid data.","SauceDemo Smoke Test","Thu Jan 16 20:25:16 GMT 2025","passed","Thu Jan 16 20:25:17 GMT 2025","tests.CheckoutTest","Thread#2","tests.CheckoutTest","testCheckoutWithAllFields"
"Check that switching to Checkout page 'Checkout: Your Information' happens.","713","Check that switching to Checkout page happens.","SauceDemo Smoke Test","Thu Jan 16 20:20:39 GMT 2025","passed","Thu Jan 16 20:20:40 GMT 2025","tests.CartTest","Thread#1","tests.CartTest","checkSwitchToCheckout"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","462","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:24:49 GMT 2025","passed","Thu Jan 16 20:24:50 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","789","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:20:48 GMT 2025","passed","Thu Jan 16 20:20:49 GMT 2025","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
"Check that one product can be added and removed from cart, when there are multiple products","813","Check that one product can be added and removed from cart.","SauceDemo Smoke Test","Thu Jan 16 20:20:40 GMT 2025","passed","Thu Jan 16 20:20:41 GMT 2025","tests.CartTest","Thread#1","tests.CartTest","removeOneProductFromCart"
"Check that one product can be added and removed from cart, when there are multiple products","1758","Check that one product can be added and removed from cart.","SauceDemo Smoke Test","Thu Jan 16 20:21:18 GMT 2025","passed","Thu Jan 16 20:21:19 GMT 2025","tests.CartTest","Thread#3","tests.CartTest","removeOneProductFromCart"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","494","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Thu Jan 16 20:24:45 GMT 2025","passed","Thu Jan 16 20:24:46 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","negativeTestsOfLogin"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","883","Check checkout with different invalid data.","SauceDemo Smoke Test","Thu Jan 16 20:25:19 GMT 2025","passed","Thu Jan 16 20:25:20 GMT 2025","tests.CheckoutTest","Thread#2","tests.CheckoutTest","testCheckoutWithInvalidData"
