"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","460","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:03 GMT 2024","passed","Mon Dec 16 20:33:04 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1414","Check checkout with different invalid data.","SauceDemo Smoke Test","Mon Dec 16 20:34:20 GMT 2024","passed","Mon Dec 16 20:34:21 GMT 2024","tests.CheckoutTest","Thread#3","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check that several products - Sauce Labs Backpack, Sauce Labs Fleece Jacket - can be added to cart.","1628","Check that several products can be added to cart.","SauceDemo Smoke Test","Mon Dec 16 20:33:31 GMT 2024","passed","Mon Dec 16 20:33:33 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addSeveralProductsToCart"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1610","Check checkout with different invalid data.","SauceDemo Smoke Test","Mon Dec 16 20:34:16 GMT 2024","passed","Mon Dec 16 20:34:17 GMT 2024","tests.CheckoutTest","Thread#3","tests.CheckoutTest","testCheckoutWithInvalidData"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","859","Check checkout with different invalid data.","SauceDemo Smoke Test","Mon Dec 16 20:33:57 GMT 2024","passed","Mon Dec 16 20:33:58 GMT 2024","tests.CheckoutTest","Thread#2","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check that one product can be added and removed from cart, when there are multiple products","1257","Check that one product can be added and removed from cart.","SauceDemo Smoke Test","Mon Dec 16 20:33:36 GMT 2024","passed","Mon Dec 16 20:33:37 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeOneProductFromCart"
"Check that one product can be added and removed from cart, when there are multiple products","1586","Check that one product can be added and removed from cart.","SauceDemo Smoke Test","Mon Dec 16 20:33:49 GMT 2024","passed","Mon Dec 16 20:33:51 GMT 2024","tests.CartTest","Thread#3","tests.CartTest","removeOneProductFromCart"
"Check that next page of checkout - 'Checkout: Overview' - opens after entering valid data to form.","1632","Check that next page of checkout opens after entering valid data.","SauceDemo Smoke Test","Mon Dec 16 20:34:08 GMT 2024","passed","Mon Dec 16 20:34:10 GMT 2024","tests.CheckoutTest","Thread#3","tests.CheckoutTest","testCheckoutWithAllFields"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","917","Check checkout with different invalid data.","SauceDemo Smoke Test","Mon Dec 16 20:33:54 GMT 2024","passed","Mon Dec 16 20:33:55 GMT 2024","tests.CheckoutTest","Thread#2","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check that switching to Checkout page 'Checkout: Your Information' happens.","1671","Check that switching to Checkout page happens.","SauceDemo Smoke Test","Mon Dec 16 20:33:45 GMT 2024","passed","Mon Dec 16 20:33:47 GMT 2024","tests.CartTest","Thread#3","tests.CartTest","checkSwitchToCheckout"
"Positive test of login to Saucedemo with valid credentials.","1294","Check login to Saucedemo with valid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:02 GMT 2024","passed","Mon Dec 16 20:33:03 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Check that one product - Sauce Labs Bike Light - can be added to cart.","1377","Check that one prodcut can be added to cart.","SauceDemo Smoke Test","Mon Dec 16 20:33:37 GMT 2024","passed","Mon Dec 16 20:33:38 GMT 2024","tests.CartTest","Thread#3","tests.CartTest","addOneProductToCart"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1450","Check checkout with different invalid data.","SauceDemo Smoke Test","Mon Dec 16 20:33:33 GMT 2024","passed","Mon Dec 16 20:33:34 GMT 2024","tests.CheckoutTest","Thread#1","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","623","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:23 GMT 2024","passed","Mon Dec 16 20:33:24 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","negativeTestsOfLogin"
"Check that several products - Sauce Labs Backpack, Sauce Labs Fleece Jacket - can be added to cart.","913","Check that several products can be added to cart.","SauceDemo Smoke Test","Mon Dec 16 20:33:09 GMT 2024","passed","Mon Dec 16 20:33:10 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","addSeveralProductsToCart"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","604","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:07 GMT 2024","passed","Mon Dec 16 20:33:08 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","891","Check checkout with different invalid data.","SauceDemo Smoke Test","Mon Dec 16 20:33:59 GMT 2024","passed","Mon Dec 16 20:34:00 GMT 2024","tests.CheckoutTest","Thread#2","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check that next page of checkout - 'Checkout: Overview' - opens after entering valid data to form.","1174","Check that next page of checkout opens after entering valid data.","SauceDemo Smoke Test","Mon Dec 16 20:33:52 GMT 2024","passed","Mon Dec 16 20:33:53 GMT 2024","tests.CheckoutTest","Thread#2","tests.CheckoutTest","testCheckoutWithAllFields"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","908","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:19 GMT 2024","passed","Mon Dec 16 20:33:19 GMT 2024","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","969","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:18 GMT 2024","passed","Mon Dec 16 20:33:19 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","540","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:06 GMT 2024","passed","Mon Dec 16 20:33:07 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","863","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:27 GMT 2024","passed","Mon Dec 16 20:33:28 GMT 2024","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
